,,,,Cycle time,,,,,,,Cost,,,,,,,,Survey,,,,,Calculated,,,,,,,,,,
Trans_id,Menu_id,Sand_id,Employees,Bread_CT,Cheese_CT,Protein_CT,Produce_CT,Wrap_CT,Payment_CT,Cycle,Labor_Cost,Bread_Cost,Cheese_Cost,Protein_Cost,Produce_Cost,Wrap_Cost,Total_Cost,Price,Conv,Wait,Value,Quality,Grade,Date,Time,DateTime,Month,Shift,Store,Sand,Size,,,
7141.42739.4326,1,2,1,40,41,18,71,21,39,230, $0.58 , $0.15 , $0.26 , $0.54 , $0.11 , $0.08 , $1.72 , $5.00 ,6,18,25,32,81,,,,,,,,,50847,,
7141.42739.4535,6,2,1,45,43,21,52,19,51,231, $0.58 , $0.15 , $0.34 , $1.27 , $0.23 , $0.08 , $2.65 , $5.00 ,9,18,28,18,73,,,,,,,,,69076,,
7141.42739.4556,4,1,1,80,32,25,16,17,27,197, $0.49 , $0.10 , $0.11 , $0.29 , $0.11 , $0.05 , $1.15 , $3.75 ,8,12,11,32,63,,,,,,,,,1.358506893,,
7141.42739.4625,3,2,1,44,60,14,49,21,81,269, $0.67 , $0.15 , $0.44 , $1.05 , $0.24 , $0.08 , $2.63 , $5.00 ,7,-17,22,26,38,,,,,,,,,1,,
7141.42739.4625,7,1,2,40,20,17,68,12,52,209, $1.05 , $0.10 , $0.15 , $0.59 , $0.09 , $0.05 , $2.03 , $4.75 ,5,5,26,20,56,,,,,,,,,1,,
7141.42739.4694,1,2,1,28,52,16,45,29,45,215, $0.54 , $0.15 , $0.39 , $0.61 , $0.17 , $0.08 , $1.94 , $5.00 ,6,-7,3,19,21,,,,,,,,,2,,
7141.42739.4778,2,2,1,60,30,19,68,16,25,218, $0.55 , $0.15 , $0.37 , $0.74 , $0.17 , $0.08 , $2.06 , $5.00 ,7,6,11,37,61,,,,,,,,,1,,
7141.42739.4833,7,2,2,49,31,25,67,14,30,216, $1.08 , $0.15 , $0.22 , $1.06 , $0.22 , $0.08 , $2.81 , $5.00 ,7,11,31,21,70,,,,,,,,,1,,
7141.42739.4917,6,1,1,39,42,13,24,22,37,177, $0.44 , $0.10 , $0.21 , $0.75 , $0.09 , $0.05 , $1.64 , $4.75 ,6,10,31,35,82,,,,,,,,,0.479561988,,
7141.42739.4972,7,2,1,54,37,30,67,21,24,233, $0.58 , $0.15 , $0.23 , $1.22 , $0.16 , $0.08 , $2.42 , $5.00 ,8,4,33,14,59,,,,,,,,,,,
7141.42739.5083,6,1,1,41,35,15,39,18,39,187, $0.47 , $0.10 , $0.27 , $0.98 , $0.06 , $0.05 , $1.93 , $4.75 ,3,3,25,23,54,,,,,,,,,#REF!,,
